Entity,Code,Year,Low-carbon energy
Africa (EI),,2020,5.4543676
Africa (EI),,2021,5.290253
Africa (EI),,2022,5.382488
Africa (EI),,2023,5.6050673
Africa (EI),,2024,5.6708207
Africa (EI),,2025,6.147807
Algeria,DZA,1965,1.6632121
Algeria,DZA,1966,1.2183489
Algeria,DZA,1967,1.4938946
Algeria,DZA,1968,1.9252338
Algeria,DZA,1969,1.099513
Algeria,DZA,1970,1.6281232
Algeria,DZA,1971,0.8442696
Algeria,DZA,1972,1.133264
Algeria,DZA,1973,1.4523256
Algeria,DZA,1974,0.8578386
Algeria,DZA,1975,0.4704007
Algeria,DZA,1976,0.47823453
Algeria,DZA,1977,0.29993474
Algeria,DZA,1978,0.22148938
Algeria,DZA,1979,0.19666049
Algeria,DZA,1980,0.14549366
Algeria,DZA,1981,0.1706533
Algeria,DZA,1982,0.19379005
Algeria,DZA,1983,0.08687398
Algeria,DZA,1984,0.17430766
Algeria,DZA,1985,0.24747889
Algeria,DZA,1986,0.09025228
Algeria,DZA,1987,0.17558579
Algeria,DZA,1988,0.059987474
Algeria,DZA,1989,0.076190226
Algeria,DZA,1990,0.0428967
Algeria,DZA,1991,0.094054446
Algeria,DZA,1992,0.06221911
Algeria,DZA,1993,0.11873362
Algeria,DZA,1994,0.055040475
Algeria,DZA,1995,0.061707254
Algeria,DZA,1996,0.04359613
Algeria,DZA,1997,0.025192047
Algeria,DZA,1998,0.06982147
Algeria,DZA,1999,0.065265566
Algeria,DZA,2000,0.018009607
Algeria,DZA,2001,0.022209402
Algeria,DZA,2002,0.017710602
Algeria,DZA,2003,0.07877091
Algeria,DZA,2004,0.07185687
Algeria,DZA,2005,0.15203837
Algeria,DZA,2006,0.057441756
Algeria,DZA,2007,0.05660944
Algeria,DZA,2008,0.066896
Algeria,DZA,2009,0.07629734
Algeria,DZA,2010,0.041511696
Algeria,DZA,2011,0.08540877
Algeria,DZA,2012,0.082005106
Algeria,DZA,2013,0.023772411
Algeria,DZA,2014,0.043405507
Algeria,DZA,2015,0.03597226
Algeria,DZA,2016,0.054515645
Algeria,DZA,2017,0.092962354
Algeria,DZA,2018,0.10921303
Algeria,DZA,2019,0.11210864
Algeria,DZA,2020,0.11460701
Algeria,DZA,2021,0.096783996
Algeria,DZA,2022,0.09288643
Algeria,DZA,2023,0.09609154
Algeria,DZA,2024,0.089832805
Algeria,DZA,2025,0.08643252
Argentina,ARG,1965,0.37565267
Argentina,ARG,1966,0.368506
Argentina,ARG,1967,0.36667562
Argentina,ARG,1968,0.41844591
Argentina,ARG,1969,0.36276567
Argentina,ARG,1970,0.49298182
Argentina,ARG,1971,0.46405134
Argentina,ARG,1972,0.46030697
Argentina,ARG,1973,0.81395364
Argentina,ARG,1974,2.0658197
Argentina,ARG,1975,3.3129601
Argentina,ARG,1976,3.1432083
Argentina,ARG,1977,2.5370247
Argentina,ARG,1978,3.8886251
Argentina,ARG,1979,4.19448
Argentina,ARG,1980,5.0737543
Argentina,ARG,1981,5.4525194
Argentina,ARG,1982,5.41117
Argentina,ARG,1983,6.412561
Argentina,ARG,1984,7.5467153
Argentina,ARG,1985,8.615125
Argentina,ARG,1986,8.243041
Argentina,ARG,1987,8.518124
Argentina,ARG,1988,6.4768314
Argentina,ARG,1989,5.787377
Argentina,ARG,1990,8.364835
Argentina,ARG,1991,8.068808
Argentina,ARG,1992,7.824949
Argentina,ARG,1993,8.906801
Argentina,ARG,1994,9.393297
Argentina,ARG,1995,8.321703
Argentina,ARG,1996,7.4224434
Argentina,ARG,1997,8.54243
Argentina,ARG,1998,7.7230597
Argentina,ARG,1999,6.5809317
Argentina,ARG,2000,7.4753366
Argentina,ARG,2001,9.569633
Argentina,ARG,2002,9.329009
Argentina,ARG,2003,9.262284
Argentina,ARG,2004,8.19514
Argentina,ARG,2005,7.8843803
Argentina,ARG,2006,8.4191475
Argentina,ARG,2007,6.9418397
Argentina,ARG,2008,6.9474635
Argentina,ARG,2009,7.9544215
Argentina,ARG,2010,7.9149694
Argentina,ARG,2011,7.4286304
Argentina,ARG,2012,7.153041
Argentina,ARG,2013,7.5577216
Argentina,ARG,2014,7.496852
Argentina,ARG,2015,8.023985
Argentina,ARG,2016,8.047313
Argentina,ARG,2017,8.018909
Argentina,ARG,2018,8.401078
Argentina,ARG,2019,9.35987
Argentina,ARG,2020,9.980734
Argentina,ARG,2021,9.273035
Argentina,ARG,2022,9.000053
Argentina,ARG,2023,10.50991
Argentina,ARG,2024,11.715021
Argentina,ARG,2025,11.98969
Asia,OWID_ASI,1965,2.814764
Asia,OWID_ASI,1966,2.7026746
Asia,OWID_ASI,1967,2.4223332
Asia,OWID_ASI,1968,2.524647
Asia,OWID_ASI,1969,2.3042943
Asia,OWID_ASI,1970,2.234249
Asia,OWID_ASI,1971,2.3258119
Asia,OWID_ASI,1972,2.2810054
Asia,OWID_ASI,1973,2.0214097
Asia,OWID_ASI,1974,2.5084863
Asia,OWID_ASI,1975,2.6948683
Asia,OWID_ASI,1976,2.829201
Asia,OWID_ASI,1977,2.564597
Asia,OWID_ASI,1978,3.2536905
Asia,OWID_ASI,1979,3.6304424
Asia,OWID_ASI,1980,4.172384
Asia,OWID_ASI,1981,4.509854
Asia,OWID_ASI,1982,4.9264507
Asia,OWID_ASI,1983,5.2745976
Asia,OWID_ASI,1984,5.5231137
Asia,OWID_ASI,1985,5.640747
Asia,OWID_ASI,1986,5.6347013
Asia,OWID_ASI,1987,5.947534
Asia,OWID_ASI,1988,5.6452203
Asia,OWID_ASI,1989,5.600626
Asia,OWID_ASI,1990,5.724711
Asia,OWID_ASI,1991,5.761354
Asia,OWID_ASI,1992,5.612453
Asia,OWID_ASI,1993,5.936965
Asia,OWID_ASI,1994,5.952292
Asia,OWID_ASI,1995,6.2842507
Asia,OWID_ASI,1996,6.241529
Asia,OWID_ASI,1997,6.359309
Asia,OWID_ASI,1998,6.681599
Asia,OWID_ASI,1999,6.5638943
Asia,OWID_ASI,2000,6.5367074
Asia,OWID_ASI,2001,6.5145264
Asia,OWID_ASI,2002,6.377214
Asia,OWID_ASI,2003,5.5746894
Asia,OWID_ASI,2004,5.83271
Asia,OWID_ASI,2005,5.649918
Asia,OWID_ASI,2006,5.634981
Asia,OWID_ASI,2007,5.3225884
Asia,OWID_ASI,2008,5.4053917
Asia,OWID_ASI,2009,5.447263
Asia,OWID_ASI,2010,5.5779357
Asia,OWID_ASI,2011,4.957896
Asia,OWID_ASI,2012,4.5735245
Asia,OWID_ASI,2013,4.7598386
Asia,OWID_ASI,2014,5.1409273
Asia,OWID_ASI,2015,5.5102625
Asia,OWID_ASI,2016,5.9659133
Asia,OWID_ASI,2017,6.22936
Asia,OWID_ASI,2018,6.7168827
Asia,OWID_ASI,2019,7.3948345
Asia,OWID_ASI,2020,7.8804603
Asia,OWID_ASI,2021,8.1999035
Asia,OWID_ASI,2022,8.655936
Asia,OWID_ASI,2023,8.887602
Asia,OWID_ASI,2024,9.504101
Asia,OWID_ASI,2025,10.197773
Asia Pacific (EI),,1965,3.4417822
Asia Pacific (EI),,1966,3.2763455
Asia Pacific (EI),,1967,2.932727
Asia Pacific (EI),,1968,3.0343907
Asia Pacific (EI),,1969,2.7543752
Asia Pacific (EI),,1970,2.650923
Asia Pacific (EI),,1971,2.7583911
Asia Pacific (EI),,1972,2.6889608
Asia Pacific (EI),,1973,2.4237428
Asia Pacific (EI),,1974,2.9645183
Asia Pacific (EI),,1975,3.1315558
Asia Pacific (EI),,1976,3.2263045
Asia Pacific (EI),,1977,2.929174
Asia Pacific (EI),,1978,3.6381161
Asia Pacific (EI),,1979,4.0703173
Asia Pacific (EI),,1980,4.6300554
Asia Pacific (EI),,1981,5.012669
Asia Pacific (EI),,1982,5.4921727
Asia Pacific (EI),,1983,5.940869
Asia Pacific (EI),,1984,6.2608714
Asia Pacific (EI),,1985,6.7806234
Asia Pacific (EI),,1986,6.8618236
Asia Pacific (EI),,1987,7.1380954
Asia Pacific (EI),,1988,6.6497426
Asia Pacific (EI),,1989,6.7386336
Asia Pacific (EI),,1990,6.859516
Asia Pacific (EI),,1991,6.888322
Asia Pacific (EI),,1992,6.646688
Asia Pacific (EI),,1993,6.9145613
Asia Pacific (EI),,1994,6.9502864
Asia Pacific (EI),,1995,7.305869
Asia Pacific (EI),,1996,7.188022
Asia Pacific (EI),,1997,7.344556
Asia Pacific (EI),,1998,7.7603564
Asia Pacific (EI),,1999,7.626269
Asia Pacific (EI),,2000,7.62443
Asia Pacific (EI),,2001,7.623229
Asia Pacific (EI),,2002,7.430384
Asia Pacific (EI),,2003,6.43796
Asia Pacific (EI),,2004,6.7141905
Asia Pacific (EI),,2005,6.5088654
Asia Pacific (EI),,2006,6.4842925
Asia Pacific (EI),,2007,6.14365
Asia Pacific (EI),,2008,6.3279657
Asia Pacific (EI),,2009,6.3756156
Asia Pacific (EI),,2010,6.508157
Asia Pacific (EI),,2011,5.8075976
Asia Pacific (EI),,2012,5.3424716
Asia Pacific (EI),,2013,5.5401278
Asia Pacific (EI),,2014,6.036195
Asia Pacific (EI),,2015,6.4349666
Asia Pacific (EI),,2016,6.966755
Asia Pacific (EI),,2017,7.246025
Asia Pacific (EI),,2018,7.7919006
Asia Pacific (EI),,2019,8.4641905
Asia Pacific (EI),,2020,9.036641
Asia Pacific (EI),,2021,9.447641
Asia Pacific (EI),,2022,9.898637
Asia Pacific (EI),,2023,10.079524
Asia Pacific (EI),,2024,10.743508
Asia Pacific (EI),,2025,11.588553
Australia,AUS,1965,2.0909402
Australia,AUS,1966,1.9008578
Australia,AUS,1967,1.8518739
Australia,AUS,1968,1.811406
Australia,AUS,1969,1.8867949
Australia,AUS,1970,1.9924543
Australia,AUS,1971,2.135274
Australia,AUS,1972,2.0551836
Australia,AUS,1973,2.0627537
Australia,AUS,1974,2.2162044
Australia,AUS,1975,2.3564065
Australia,AUS,1976,2.1655746
Australia,AUS,1977,1.9547107
Australia,AUS,1978,2.0324507
Australia,AUS,1979,1.907276
Australia,AUS,1980,1.789278
Australia,AUS,1981,1.8168467
Australia,AUS,1982,1.7377784
Australia,AUS,1983,1.6422234
Australia,AUS,1984,1.7103086
Australia,AUS,1985,1.7633398
Australia,AUS,1986,1.742563
Australia,AUS,1987,1.6510441
Australia,AUS,1988,1.736317
Australia,AUS,1989,1.6680068
Australia,AUS,1990,1.6692574
Australia,AUS,1991,1.760721
Australia,AUS,1992,1.7475529
Australia,AUS,1993,1.7518849
Australia,AUS,1994,1.671576
Australia,AUS,1995,1.6164072
Australia,AUS,1996,1.631346
Australia,AUS,1997,1.6032494
Australia,AUS,1998,1.5740943
Australia,AUS,1999,1.5650432
Australia,AUS,2000,1.5200112
Australia,AUS,2001,1.471251
Australia,AUS,2002,1.5674161
Australia,AUS,2003,1.6642102
Australia,AUS,2004,1.8275332
Australia,AUS,2005,2.0907102
Australia,AUS,2006,2.0775099
Australia,AUS,2007,2.0280793
Australia,AUS,2008,1.8556969
Australia,AUS,2009,1.8668487
Australia,AUS,2010,2.0148237
Australia,AUS,2011,2.579396
Australia,AUS,2012,2.6571367
Australia,AUS,2013,3.015423
Australia,AUS,2014,2.8342528
Australia,AUS,2015,2.9437633
Australia,AUS,2016,3.2813158
Australia,AUS,2017,3.1092014
Australia,AUS,2018,3.7676678
Australia,AUS,2019,4.00159
Australia,AUS,2020,4.874022
Australia,AUS,2021,5.8065143
Australia,AUS,2022,6.246642
Australia,AUS,2023,6.895732
Australia,AUS,2024,7.1153893
Australia,AUS,2025,7.8884773
Austria,AUT,1965,10.177567
Austria,AUT,1966,10.541428
Austria,AUT,1967,10.678899
Austria,AUT,1968,10.17891
Austria,AUT,1969,8.835707
Austria,AUT,1970,10.019366
Austria,AUT,1971,7.6396866
Austria,AUT,1972,7.5824766
Austria,AUT,1973,7.8752713
Austria,AUT,1974,9.522351
Austria,AUT,1975,10.147353
Austria,AUT,1976,8.205004
Austria,AUT,1977,10.262739
Austria,AUT,1978,9.766116
Austria,AUT,1979,10.5140085
Austria,AUT,1980,11.030402
Austria,AUT,1981,12.28231
Austria,AUT,1982,12.827604
Austria,AUT,1983,12.720877
Austria,AUT,1984,10.962392
Austria,AUT,1985,13.167682
Austria,AUT,1986,13.609301
Austria,AUT,1987,14.410516
Austria,AUT,1988,14.805974
Austria,AUT,1989,14.659903
Austria,AUT,1990,12.858133
Austria,AUT,1991,12.221773
Austria,AUT,1992,14.066255
Austria,AUT,1993,14.56234
Austria,AUT,1994,14.096846
Austria,AUT,1995,14.482614
Austria,AUT,1996,12.655689
Austria,AUT,1997,13.344489
Austria,AUT,1998,13.537052
Austria,AUT,1999,14.575499
Austria,AUT,2000,14.872055
Austria,AUT,2001,13.946387
Austria,AUT,2002,13.6979265
Austria,AUT,2003,11.293127
Austria,AUT,2004,12.517306
Austria,AUT,2005,12.963021
Austria,AUT,2006,14.0922165
Austria,AUT,2007,15.789535
Austria,AUT,2008,16.221386
Austria,AUT,2009,18.314552
Austria,AUT,2010,17.01089
Austria,AUT,2011,16.700945
Austria,AUT,2012,19.912287
Austria,AUT,2013,19.720625
Austria,AUT,2014,20.439774
Austria,AUT,2015,19.327557
Austria,AUT,2016,19.98638
Austria,AUT,2017,19.53275
Austria,AUT,2018,19.582144
Austria,AUT,2019,20.059187
Austria,AUT,2020,21.976412
Austria,AUT,2021,20.413708
Austria,AUT,2022,21.013407
Austria,AUT,2023,24.417967
Austria,AUT,2024,26.588259
Austria,AUT,2025,24.676855
Azerbaijan,AZE,1985,0.5648297
Azerbaijan,AZE,1986,0.32011855
Azerbaijan,AZE,1987,0.33039027
Azerbaijan,AZE,1988,0.28636464
Azerbaijan,AZE,1989,0.28078264
Azerbaijan,AZE,1990,0.6443676
Azerbaijan,AZE,1991,0.7125317
Azerbaijan,AZE,1992,0.8282048
Azerbaijan,AZE,1993,1.3386116
Azerbaijan,AZE,1994,1.093952
Azerbaijan,AZE,1995,0.98729134
Azerbaijan,AZE,1996,1.1939458
Azerbaijan,AZE,1997,1.3940883
Azerbaijan,AZE,1998,1.5884118
Azerbaijan,AZE,1999,1.2203602
Azerbaijan,AZE,2000,1.188657
Azerbaijan,AZE,2001,1.0432503
Azerbaijan,AZE,2002,1.6593747
Azerbaijan,AZE,2003,1.8805879
Azerbaijan,AZE,2004,1.8525492
Azerbaijan,AZE,2005,1.8665303
Azerbaijan,AZE,2006,1.5792296
Azerbaijan,AZE,2007,1.6108959
Azerbaijan,AZE,2008,1.5170931
Azerbaijan,AZE,2009,1.8333484
Azerbaijan,AZE,2010,2.8178709
Azerbaijan,AZE,2011,1.8972806
Azerbaijan,AZE,2012,1.2394603
Azerbaijan,AZE,2013,1.117024
Azerbaijan,AZE,2014,1.0119785
Azerbaijan,AZE,2015,1.1372106
Azerbaijan,AZE,2016,1.3680234
Azerbaijan,AZE,2017,1.2588297
Azerbaijan,AZE,2018,1.2342105
Azerbaijan,AZE,2019,1.0986059
Azerbaijan,AZE,2020,0.8289808
Azerbaijan,AZE,2021,0.8792764
Azerbaijan,AZE,2022,0.9885414
Azerbaijan,AZE,2023,1.0436496
Azerbaijan,AZE,2024,1.9106299
Azerbaijan,AZE,2025,1.9940759
Bangladesh,BGD,1971,1.3395175
Bangladesh,BGD,1972,1.1785997
Bangladesh,BGD,1973,1.7576009
Bangladesh,BGD,1974,1.1987567
Bangladesh,BGD,1975,2.1291285
Bangladesh,BGD,1976,2.0646772
Bangladesh,BGD,1977,1.7776508
Bangladesh,BGD,1978,1.9436355
Bangladesh,BGD,1979,2.0491414
Bangladesh,BGD,1980,1.7346307
Bangladesh,BGD,1981,1.7548008
Bangladesh,BGD,1982,1.3201123
Bangladesh,BGD,1983,1.7020329
Bangladesh,BGD,1984,2.1517446
Bangladesh,BGD,1985,1.5781195
Bangladesh,BGD,1986,0.87114877
Bangladesh,BGD,1987,0.90745085
Bangladesh,BGD,1988,1.0671026
Bangladesh,BGD,1989,1.3566556
Bangladesh,BGD,1990,1.2256258
Bangladesh,BGD,1991,1.2037697
Bangladesh,BGD,1992,1.0452671
Bangladesh,BGD,1993,0.72169673
Bangladesh,BGD,1994,0.951338
Bangladesh,BGD,1995,0.34968773
Bangladesh,BGD,1996,0.667231
Bangladesh,BGD,1997,0.61725354
Bangladesh,BGD,1998,0.69833314
Bangladesh,BGD,1999,0.66451174
Bangladesh,BGD,2000,0.65003484
Bangladesh,BGD,2001,0.71124494
Bangladesh,BGD,2002,0.61976314
Bangladesh,BGD,2003,0.5696865
Bangladesh,BGD,2004,0.50183547
Bangladesh,BGD,2005,0.4561242
Bangladesh,BGD,2006,0.43641886
Bangladesh,BGD,2007,0.4412617
Bangladesh,BGD,2008,0.51348686
Bangladesh,BGD,2009,0.21653396
Bangladesh,BGD,2010,0.3375028
Bangladesh,BGD,2011,0.41008818
Bangladesh,BGD,2012,0.34516677
Bangladesh,BGD,2013,0.3416726
Bangladesh,BGD,2014,0.29636526
Bangladesh,BGD,2015,0.32874522
Bangladesh,BGD,2016,0.30670306
Bangladesh,BGD,2017,0.36365792
Bangladesh,BGD,2018,0.29848403
Bangladesh,BGD,2019,0.27220225
Bangladesh,BGD,2020,0.27922586
Bangladesh,BGD,2021,0.28474516
Bangladesh,BGD,2022,0.28705224
Bangladesh,BGD,2023,0.3160325
Bangladesh,BGD,2024,0.4663612
Bangladesh,BGD,2025,0.46190706
Belarus,BLR,1985,0.0049019065
Belarus,BLR,1986,0.004293696
Belarus,BLR,1987,0.004232086
Belarus,BLR,1988,0.0041721794
Belarus,BLR,1989,0.004313864
Belarus,BLR,1990,0.0042924597
Belarus,BLR,1991,0.0038720418
Belarus,BLR,1992,0.0041983607
Belarus,BLR,1993,0.0056240605
Belarus,BLR,1994,0.0067335973
Belarus,BLR,1995,0.007978715
Belarus,BLR,1996,0.006223093
Belarus,BLR,1997,0.008075059
Belarus,BLR,1998,0.011010793
Belarus,BLR,1999,0.0076805083
Belarus,BLR,2000,0.010590468
Belarus,BLR,2001,0.012103931
Belarus,BLR,2002,0.011309548
Belarus,BLR,2003,0.011002025
Belarus,BLR,2004,0.011934646
Belarus,BLR,2005,0.013026469
Belarus,BLR,2006,0.013925274
Belarus,BLR,2007,0.026615262
Belarus,BLR,2008,0.07443722
Belarus,BLR,2009,0.16436574
Belarus,BLR,2010,0.22577189
Belarus,BLR,2011,0.21707122
Belarus,BLR,2012,0.21688034
Belarus,BLR,2013,0.22525276
Belarus,BLR,2014,0.22373292
Belarus,BLR,2015,0.25122496
Belarus,BLR,2016,0.2685252
Belarus,BLR,2017,0.4041218
Belarus,BLR,2018,0.33146888
Belarus,BLR,2019,0.3880514
Belarus,BLR,2020,0.90783095
Belarus,BLR,2021,6.3156767
Belarus,BLR,2022,5.420789
Belarus,BLR,2023,12.2104025
Belarus,BLR,2024,15.679218
Belarus,BLR,2025,17.210884
Belgium,BEL,1965,0.06595396
Belgium,BEL,1966,0.07983936
Belgium,BEL,1967,0.12532108
Belgium,BEL,1968,0.09223518
Belgium,BEL,1969,0.058132436
Belgium,BEL,1970,0.07766856
Belgium,BEL,1971,0.02532736
Belgium,BEL,1972,0.03793383
Belgium,BEL,1973,0.13207637
Belgium,BEL,1974,0.18457446
Belgium,BEL,1975,4.0450654
Belgium,BEL,1976,5.5676246
Belgium,BEL,1977,6.7251153
Belgium,BEL,1978,6.7509212
Belgium,BEL,1979,6.029413
Belgium,BEL,1980,6.904751
Belgium,BEL,1981,7.4501314
Belgium,BEL,1982,9.26823
Belgium,BEL,1983,14.603904
Belgium,BEL,1984,16.05928
Belgium,BEL,1985,19.128994
Belgium,BEL,1986,21.117384
Belgium,BEL,1987,21.85337
Belgium,BEL,1988,22.00268
Belgium,BEL,1989,20.899815
Belgium,BEL,1990,20.939535
Belgium,BEL,1991,20.321983
Belgium,BEL,1992,20.652063
Belgium,BEL,1993,20.229631
Belgium,BEL,1994,18.672457
Belgium,BEL,1995,18.796383
Belgium,BEL,1996,18.538551
Belgium,BEL,1997,20.051254
Belgium,BEL,1998,19.182709
Belgium,BEL,1999,20.5059
Belgium,BEL,2000,19.85499
Belgium,BEL,2001,19.274488
Belgium,BEL,2002,19.769413
Belgium,BEL,2003,19.078331
Belgium,BEL,2004,19.049953
Belgium,BEL,2005,19.54905
Belgium,BEL,2006,19.392263
Belgium,BEL,2007,20.028797
Belgium,BEL,2008,18.996807
Belgium,BEL,2009,21.71615
Belgium,BEL,2010,21.246807
Belgium,BEL,2011,23.185236
Belgium,BEL,2012,21.300821
Belgium,BEL,2013,21.935522
Belgium,BEL,2014,19.654705
Belgium,BEL,2015,16.480545
Belgium,BEL,2016,22.688602
Belgium,BEL,2017,22.350254
Belgium,BEL,2018,16.96279
Belgium,BEL,2019,22.75137
Belgium,BEL,2020,22.423891
Belgium,BEL,2021,26.29352
Belgium,BEL,2022,25.677256
Belgium,BEL,2023,22.812094
Belgium,BEL,2024,21.714745
Belgium,BEL,2025,19.000858
Brazil,BRA,1965,11.3938265
Brazil,BRA,1966,11.428997
Brazil,BRA,1967,11.561991
Brazil,BRA,1968,10.401771
Brazil,BRA,1969,10.158029
Brazil,BRA,1970,11.584808
Brazil,BRA,1971,11.536587
Brazil,BRA,1972,11.825401
Brazil,BRA,1973,11.097821
Brazil,BRA,1974,11.268294
Brazil,BRA,1975,11.820778
Brazil,BRA,1976,12.366478
Brazil,BRA,1977,13.642817
Brazil,BRA,1978,14.157291
Brazil,BRA,1979,15.43351
Brazil,BRA,1980,16.989845
Brazil,BRA,1981,17.842058
Brazil,BRA,1982,19.086086
Brazil,BRA,1983,21.85616
Brazil,BRA,1984,23.599249
Brazil,BRA,1985,24.71182
Brazil,BRA,1986,24.145514
Brazil,BRA,1987,24.123528
Brazil,BRA,1988,24.68406
Brazil,BRA,1989,25.459005
Brazil,BRA,1990,25.813229
Brazil,BRA,1991,25.832634
Brazil,BRA,1992,26.117308
Brazil,BRA,1993,25.935425
Brazil,BRA,1994,25.747831
Brazil,BRA,1995,25.816757
Brazil,BRA,1996,25.394432
Brazil,BRA,1997,24.797543
Brazil,BRA,1998,24.576845
Brazil,BRA,1999,24.56466
Brazil,BRA,2000,23.84149
Brazil,BRA,2001,22.88955
Brazil,BRA,2002,24.140347
Brazil,BRA,2003,25.184576
Brazil,BRA,2004,24.986773
Brazil,BRA,2005,25.452637
Brazil,BRA,2006,25.89008
Brazil,BRA,2007,27.0326
Brazil,BRA,2008,27.401276
Brazil,BRA,2009,29.757973
Brazil,BRA,2010,28.96405
Brazil,BRA,2011,28.609537
Brazil,BRA,2012,27.090492
Brazil,BRA,2013,26.334866
Brazil,BRA,2014,26.217178
Brazil,BRA,2015,27.65746
Brazil,BRA,2016,29.751059
Brazil,BRA,2017,29.697884
Brazil,BRA,2018,32.328056
Brazil,BRA,2019,33.42928
Brazil,BRA,2020,35.078148
Brazil,BRA,2021,31.935467
Brazil,BRA,2022,34.616222
Brazil,BRA,2023,35.890656
Brazil,BRA,2024,37.40522
Brazil,BRA,2025,37.68443
Bulgaria,BGR,1965,1.7239645
Bulgaria,BGR,1966,1.6127496
Bulgaria,BGR,1967,1.3908035
Bulgaria,BGR,1968,0.79387414
Bulgaria,BGR,1969,1.0078435
Bulgaria,BGR,1970,1.0490037
Bulgaria,BGR,1971,1.0152031
Bulgaria,BGR,1972,0.9513284
Bulgaria,BGR,1973,1.1269748
Bulgaria,BGR,1974,2.071713
Bulgaria,BGR,1975,3.905062
Bulgaria,BGR,1976,6.543513
